run_id,N,modules,slot,batch_id,repeat,main_status,ESKF_count,ESKD_count,K_ESKD,K1_ESKD,K2_ESKD,K_zero_fraction,K_max,q_ESKF,valid_update_rate_Hz,ESKF_PC_interval_mean_s,ESKF_trigger_reason
20260907_020359_444605,3,M0_M1_M3,M1,BATCH_effca0df2e304d6fbd3170267cc6b254,2,PASS,30,5974,1.459825912286575,0.4301975225979243,1.029628389688651,0.5026782725142284,17,0.004996668887408394,200.10350457091508,0.9994041379310336,unknown_without_correlated_firmware_events
20260907_020359_444605,3,M0_M1_M3,M3,BATCH_effca0df2e304d6fbd3170267cc6b254,2,PASS,30,5974,3.638767994643455,1.1278875125544023,2.5108804820890525,0.16186809507867425,24,0.004996668887408394,200.10350457091508,0.9993307275862177,unknown_without_correlated_firmware_events
20260907_020439_495918,3,M0_M1_M3,M0,BATCH_effca0df2e304d6fbd3170267cc6b254,3,PASS,30,5976,6.1181392235609104,5.82764390896921,0.29049531459170014,0.004016064257028112,57,0.004995004995004995,200.19641848599213,0.9986014103442671,unknown_without_correlated_firmware_events
20260907_020439_495918,3,M0_M1_M3,M1,BATCH_effca0df2e304d6fbd3170267cc6b254,3,PASS,30,5976,1.840528781793842,0.5192436412315931,1.321285140562249,0.4506358768406961,24,0.004995004995004995,200.19641848599213,0.9991188517245785,unknown_without_correlated_firmware_events
20260907_020439_495918,3,M0_M1_M3,M3,BATCH_effca0df2e304d6fbd3170267cc6b254,3,PASS,30,5976,4.718373493975903,2.0038487282463184,2.714524765729585,0.12951807228915663,68,0.004995004995004995,200.19641848599213,0.9992225482760816,unknown_without_correlated_firmware_events
20260907_020547_996772,3,M0_M1_M2,M0,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,1,PASS,30,5977,16.805922703697508,12.230550443366237,4.57537226033127,0.0006692320562154927,65,0.00499417346429166,200.2110918831475,0.9988940620688512,unknown_without_correlated_firmware_events
20260907_020547_996772,3,M0_M1_M2,M1,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,1,PASS,30,5977,4.522837543918354,1.7550610674251297,2.767776476493224,0.3143717584072277,36,0.00499417346429166,200.2110918831475,0.9991017965507565,unknown_without_correlated_firmware_events
20260907_020547_996772,3,M0_M1_M2,M2,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,1,PASS,30,5977,17.9978249958173,17.75422452735486,0.24360046846243935,0.021248117784841893,42,0.00499417346429166,200.2110918831475,0.9991533655165454,unknown_without_correlated_firmware_events
20260907_020628_047087,3,M0_M1_M2,M0,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,2,PASS,30,5976,19.507697456492636,14.504852744310575,5.002844712182061,0.00016733601070950468,85,0.004995004995004995,200.19589531683997,0.9990230172416917,unknown_without_correlated_firmware_events
20260907_020628_047087,3,M0_M1_M2,M1,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,2,PASS,30,5976,5.056559571619813,1.6557898259705488,3.4007697456492636,0.2254016064257028,32,0.004995004995004995,200.19589531683997,0.9990130206901211,unknown_without_correlated_firmware_events
